Fish_ID,Date,Trawl_LED,Fulton_condition,Plasma_lactate,Plasma_glucose,Plasma_cortisol,Fat_percent
153,8/12/19,1,0.976620662,29.52,39.6,86.1,2.399379509
154,8/12/19,1,0.962661077,52.23,112.93,19.49,2.805916338
155,8/12/19,0,1.032277102,1.8,10.31,199.52,1.893846916
156,8/12/19,0,0.927165942,7.99,25.76,121.05,2.762842845
157,8/12/19,0,0.92534862,8.87,23.23,113.96,2.288485319
158,8/12/19,0,0.842006035,28.41,46.11,208.88,1.880109775
159,8/12/19,0,0.836985074,43.89,50.45,270.66,2.826417944
160,8/12/19,0,1.064650378,17.19,51.63,166.07,2.351821574
161,8/12/19,0,0.90608222,35.07,38.45,81.99,1.667307693
162,8/12/19,0,0.918856995,44.36,66.86,154.07,2.093233848
163,8/12/19,0,0.893132378,43.47,65.76,64.11,1.705673702
164,8/12/19,0,0.915963363,,,,2.534028087
165,8/12/19,0,0.90608222,51.98,38.9,11.74,1.738582569
166,8/12/19,1,0.948504297,38.79,16.41,342.13,2.527119625
167,8/12/19,1,0.844755625,15.76,,165.72,1.551651994
168,8/12/19,0,0.960793922,21.72,46.3,199.51,1.757671929
169,8/12/19,0,0.894154712,3.4,11.19,144.79,1.644703568
170,8/12/19,0,0.95633327,28.89,26.97,301.58,1.863078386
171,8/12/19,0,0.903948434,23.99,26.23,224.49,2.710546204
172,8/12/19,0,0.952070521,53.78,34.89,146.72,1.826150439
173,8/12/19,0,0.904036721,48.13,58.79,151.51,1.868171539
174,8/12/19,0,0.878079638,23.65,65.47,107.47,1.632773603
175,8/12/19,0,1.090432576,40.91,90.61,149.27,2.237010029
176,8/12/19,0,0.933729304,47.99,,155.75,1.701023563
177,8/12/19,0,0.921098933,,,,1.652204019
178,8/12/19,0,1.024708456,54.51,3.44,116.68,1.880109775
179,8/12/19,0,0.978138092,53.99,,99.24,3.118306812
180,8/12/19,0,1.028455466,52.46,,179.6,2.16097642
181,8/13/19,0,1.067059736,4.58,12.83,110.95,2.888825927
182,8/13/19,1,0.957858347,8.16,34.49,225.27,2.093233848
183,8/18/19,0,1.043010204,,,,1.983811841
184,8/18/19,0,0.86069254,,,,2.419111118
185,8/19/19,0,0.960573322,,,,1.603325911
186,8/19/19,0,1.001390848,,,,2.106610307
187,8/19/19,0,0.992958366,,,,1.732265633
188,8/19/19,0,0.896554729,,,,2.031308498
189,8/19/19,1,0.948497544,,,,1.751285633
190,8/19/19,1,1.123527725,,,,3.990434674
191,8/19/19,0,1.064525453,,,,3.387527031
192,8/19/19,0,0.992293644,,,,2.587624222
193,8/19/19,0,0.977180073,,,,2.506507039
194,8/19/19,0,0.945705035,,,,1.900753081
195,8/19/19,1,1.03344498,,,,1.570117042
196,8/19/19,1,0.866213697,,,,1.570117042
197,8/20/19,1,0.933893508,,,,1.776970887
198,8/20/19,1,1.003334753,,,,1.580150611
199,8/20/19,0,1.067059736,,,,
200,8/20/19,0,0.980282432,,,,
201,8/20/19,0,1.08051435,,,,
202,8/21/19,0,0.834396199,,,,1.704122245
203,8/21/19,1,0.942133745,,,,1.864774559
204,8/21/19,1,0.962604913,,,,1.971215122
