Group_ID,Light_Treatment_Population_white_eyed_Female,Light_Treatment_Population_wild_type_Female,Light_Treatment_Population_white_eyed_Male,Light_Treatment_Population_wild_type_Male,Light_Treatment_Frequency_for_white_eyed_Allele,Dark_Treatment_Population_white_eyed_Female,Dark_Treatment_Population_wild_type_Female,Dark_Treatment_Population_white_eyed_Male,Dark_Treatment_Population_wild_type_Male,Dark_Treatment_Frequency_for_white_eyed_Allele,Reporting_Year,Chron Order
S24_18.2,14,6,15,5,0.75,11,9,20,0,1.00,S24,S24_S24_18.2
S24_18.5,7,13,16,4,0.80,15,5,17,3,0.85,S24,S24_S24_18.5
S24_12.3,15,5,14,6,0.70,9,11,17,3,0.85,S24,S24_S24_12.3
S24_19.3,14,6,18,2,0.90,,,,,0.00,S24,S24_S24_19.3
S24_19.5,7,13,15,5,0.75,15,5,18,2,0.90,S24,S24_S24_19.5
S24_19.2,6,14,8,12,0.40,17,3,17,3,0.85,S24,S24_S24_19.2
S24_19.1,16,4,10,10,0.50,7,13,18,2,0.90,S24,S24_S24_19.1
S24_20.4,17,3,18,2,0.90,20,0,19,1,0.95,S24,S24_S24_20.4
S24_19.4,16,4,17,3,0.85,3,17,8,12,0.40,S24,S24_S24_19.4
S24_20.5,16,4,14,6,0.70,19,1,18,2,0.90,S24,S24_S24_20.5
S24_20.1,18,2,18,2,0.90,18,2,18,2,0.90,S24,S24_S24_20.1
S24_21.3,5,15,15,5,0.75,19,1,18,2,0.90,S24,S24_S24_21.3
S24_20.2,14,6,11,9,0.55,12,8,13,7,0.65,S24,S24_S24_20.2
S24_21.2,6,14,9,11,0.45,10,10,17,3,0.85,S24,S24_S24_21.2
S24_21.4,15,5,17,3,0.85,10,10,14,6,0.70,S24,S24_S24_21.4
S24_21.1,13,7,15,3,0.83,12,8,11,9,0.55,S24,S24_S24_21.1
S24_20.3,10,10,17,3,0.85,18,2,19,1,0.95,S24,S24_S24_20.3
S24_21.5,14,6,12,8,0.60,9,11,7,13,0.35,S24,S24_S24_21.5
S24_22.1,4,16,10,10,0.50,4,16,14,6,0.70,S24,S24_S24_22.1
S24_22.5,19,1,17,3,0.85,20,20,20,20,0.50,S24,S24_S24_22.5
S24_22.3,7,13,11,5,0.69,19,1,20,0,1.00,S24,S24_S24_22.3
S24_22.4,16,4,19,1,0.95,5,15,15,5,0.75,S24,S24_S24_22.4
S24_23.2,0,0,0,0,0.00,10,10,14,6,0.70,S24,S24_S24_23.2
S24_23.4,18,2,20,0,1.00,16,4,18,2,0.90,S24,S24_S24_23.4
S24_22.2,2,18,7,13,0.35,10,10,13,7,0.65,S24,S24_S24_22.2
S24_23.1,13,7,15,5,0.75,10,10,20,0,1.00,S24,S24_S24_23.1
S24_23.3,6,14,18,2,0.90,,,,,0.00,S24,S24_S24_23.3
S24_24.2,3,17,12,8,0.60,,,,,0.00,S24,S24_S24_24.2
S24_24.5,10,10,15,15,0.50,8,12,20,0,1.00,S24,S24_S24_24.5
S24_24.3,14,6,12,8,0.60,6,14,18,2,0.90,S24,S24_S24_24.3
S24_24.4,10,10,12,8,0.60,13,7,18,2,0.90,S24,S24_S24_24.4
S24_24.1,20,0,20,0,1.00,20,0,20,0,1.00,S24,S24_S24_24.1
S24_25.2,5,15,6,14,0.30,10,10,7,13,0.35,S24,S24_S24_25.2
S24_25.3,5,15,17,3,0.85,20,0,20,0,1.00,S24,S24_S24_25.3
S24_25.5,11,9,13,7,0.65,16,4,16,4,0.80,S24,S24_S24_25.5
S24_25.4,6,14,12,8,0.60,2,18,14,6,0.70,S24,S24_S24_25.4
S24_25.1,14,6,18,2,0.90,16,4,19,1,0.95,S24,S24_S24_25.1
S24_26.3,15,5,9,11,0.45,17,3,18,2,0.90,S24,S24_S24_26.3
S24_26.2,13,7,12,8,0.60,20,0,19,1,0.95,S24,S24_S24_26.2
S24_26.1,10,10,18,2,0.90,16,4,15,5,0.75,S24,S24_S24_26.1
S24_26.5,11,9,10,10,0.50,16,4,15,5,0.75,S24,S24_S24_26.5
S24_26.4,3,17,9,11,0.45,11,9,18,2,0.90,S24,S24_S24_26.4
S24_27.5,7,13,19,1,0.95,14,6,17,3,0.85,S24,S24_S24_27.5
S24_27.3,2,18,3,17,0.15,7,13,19,1,0.95,S24,S24_S24_27.3
S24_27.4,11,9,13,7,0.65,20,0,19,1,0.95,S24,S24_S24_27.4
S24_27.1,14,6,13,7,0.65,6,14,9,11,0.45,S24,S24_S24_27.1
S24_27.2,17,3,17,3,0.85,17,3,20,0,1.00,S24,S24_S24_27.2
2.02,1,19,5,15,0.25,20,0,20,0,1.00,F24,F24_2.02
1.01,11,9,16,4,0.80,20,0,20,0,1.00,F24,F24_1.01
1.03,9,11,13,7,0.65,4,16,12,8,0.60,F24,F24_1.03
2.04,11,9,17,3,0.85,18,2,19,1,0.95,F24,F24_2.04
1.05,5,15,16,4,0.80,14,6,18,2,0.90,F24,F24_1.05
3.04,4,16,10,10,0.50,4,16,13,7,0.65,F24,F24_3.04
2.03,6,14,13,7,0.65,5,15,12,8,0.60,F24,F24_2.03
1.04,8,12,11,9,0.55,11,9,14,6,0.70,F24,F24_1.04
3.02,10,10,11,9,0.55,11,9,15,5,0.75,F24,F24_3.02
1.02,17,3,16,4,0.80,14,6,19,1,0.95,F24,F24_1.02
2.01,10,10,10,10,0.50,13,7,18,2,0.90,F24,F24_2.01
3.5,11,9,16,4,0.80,12,8,8,12,0.40,F24,F24_3.5
3.01,,,,,,16,4,20,0,1.00,F24,F24_3.01
3.03,16,4,17,3,0.85,8,12,18,2,0.90,F24,F24_3.03
5.01,13,7,16,4,0.80,4,16,13,7,0.65,F24,F24_5.01
5.03,9,11,15,5,0.75,10,10,18,2,0.90,F24,F24_5.03
5.05,10,17,10,3,0.77,5,17,15,3,0.83,F24,F24_5.05
5.04,9,11,5,15,0.25,5,15,4,16,0.20,F24,F24_5.04
5.02,5,15,17,3,0.85,13,7,14,6,0.70,F24,F24_5.02
4.1,7,13,14,6,0.70,14,6,19,1,0.95,F24,F24_4.1
4.5,20,0,20,0,1.00,20,0,20,0,1.00,F24,F24_4.5
4.4,18,2,17,3,0.85,17,3,18,2,0.90,F24,F24_4.4
4.03,13,7,9,11,0.45,3,17,8,12,0.40,F24,F24_4.03
4.02,5,15,17,3,0.85,10,10,12,8,0.60,F24,F24_4.02
6.03,6,14,16,4,0.80,6,14,15,5,0.75,F24,F24_6.03
6.01,8,,14,,1.00,10,,12,,1.00,F24,F24_6.01
6.05,,,,,,4,16,15,5,0.75,F24,F24_6.05
6.04,7,13,18,2,0.90,16,4,19,1,0.95,F24,F24_6.04
6.02,11,9,19,1,0.95,5,15,15,5,0.75,F24,F24_6.02
6.1,8,12,14,6,0.70,10,10,12,8,0.60,F24,F24_6.1
9.03,3,17,19,1,0.95,20,0,20,0,1.00,F24,
8.05,,,,,,7,13,9,11,0.45,F24,
7.05,,,,,,,,,,,F24,
9.04,11,9,19,1,0.95,14,6,15,5,0.75,F24,
7.04,,,,,,14,6,7,13,0.35,F24,
8.01,13,7,14,6,0.70,20,0,20,0,1.00,F24,
9.01,5,15,10,10,0.50,7,13,9,11,0.45,F24,
8.04,8,12,5,15,0.25,13,7,15,5,0.75,F24,
9.02,7,13,14,6,0.70,9,11,16,4,0.80,F24,
8.03,14,6,9,11,0.45,19,1,17,3,0.85,F24,
8.02,7,13,10,10,0.50,13,7,17,3,0.85,F24,
703,9,11,17,3,0.85,12,8,18,2,0.90,F24,
7.02,11,9,20,0,1.00,14,6,13,7,0.65,F24,
9.05,3,17,8,12,0.40,12,8,11,9,0.55,F24,
7.01,14,13,11,2,0.85,9,11,12,8,0.60,F24,
11.02,11,9,18,2,0.90,20,7,7,2,0.78,F24,
10.04,5,15,12,8,0.60,19,1,19,1,0.95,F24,
11.1,2,18,18,2,0.90,9,11,16,4,0.80,F24,
10.03,,,,,,9,11,12,8,0.60,F24,
12.3,14,6,19,1,0.95,6,14,11,9,0.55,F24,
10.01,2,13,6,12,0.33,3,17,9,11,0.45,F24,
12.2,4,16,14,6,0.70,7,13,15,5,0.75,F24,
11.3,8,12,6,14,0.30,13,7,19,1,0.95,F24,
10.2,3,17,18,2,0.90,6,3,10,6,0.63,F24,
11.05,2,18,8,12,0.40,6,14,10,10,0.50,F24,
10.5,9,11,13,7,0.65,12,8,14,6,0.70,F24,
11.4,12,8,16,4,0.80,10,10,15,5,0.75,F24,
12.5,9,,11,,1.00,18,2,17,3,0.85,F24,
12.4,10,10,9,11,0.45,6,14,16,4,0.80,F24,
12.1,15,5,8,12,0.40,13,7,10,10,0.50,F24,
15.2,,,,,,10,10,12,8,0.60,F24,
14.04,17,3,20,0,1.00,17,0,18,2,0.90,F24,
14.02,6,14,13,7,0.65,20,0,20,0,1.00,F24,
14.05,13,7,18,2,0.90,17,3,14,6,0.70,F24,
14.1,7,13,13,7,0.65,17,3,19,1,0.95,F24,
15.3,6,14,15,5,0.75,16,4,17,3,0.85,F24,
13.01,3,17,17,3,0.85,9,11,12,8,0.60,F24,
13.05,14,6,16,4,0.80,15,5,19,1,0.95,F24,
13.04,0,20,20,0,1.00,17,3,19,1,0.95,F24,
15.1,6,14,15,5,0.75,14,6,13,7,0.65,F24,
14.03,8,14,12,6,0.67,15,4,14,6,0.70,F24,
13.02,12,8,13,7,0.65,5,15,15,5,0.75,F24,
13.03,6,14,13,7,0.65,10,10,17,3,0.85,F24,
16.1,9,7,5,4,0.556,8,12,9,11,0.45,F24,
16.4,6,14,10,10,0.5,18,2,17,3,0.85,F24,
16.5,,,,,,14,6,8,12,0.4,F24,
16.3,4,16,10,10,0.5,7,13,13,7,0.65,F24,
16.2,7,13,13,7,0.65,10,10,11,9,0.55,F24,
