Group_ID,Light_Treatment_Population_white_eyed_Female,Light_Treatment_Population_wild_type_Female,Light_Treatment_Population_white_eyed_Male,Light_Treatment_Population_wild_type_Male,Light_Treatment_Frequency_for_white_eyed_Allele,Dark_Treatment_Population_white_eyed_Female,Dark_Treatment_Population_wild_type_Female,Dark_Treatment_Population_white_eyed_Male,Dark_Treatment_Population_wild_type_Male,Dark_Treatment_Frequency_for_white_eyed_Allele,Reporting_Year,Chron Order
S22_404,0,20,0,20,0.00,0,20,0,20,0.00,S22,
S22_405,3,17,9,11,0.45,9,11,13,7,0.65,S22,
S22_400,6,10,10,9,0.53,3,22,15,10,0.60,S22,
S22_504,6,5,6,1,0.86,12,8,16,4,0.80,S22,
S22_503,1,10,6,8,0.43,5,15,6,14,0.30,S22,
S22_501,4,16,10,10,0.50,4,16,15,5,0.75,S22,
S22_500,5,15,8,12,0.40,13,7,16,4,0.80,S22,
S22_5,0,8,2,11,0.15,6,14,5,15,0.25,S22,
S22_502,2,18,7,8,0.47,2,18,8,12,0.40,S22,
S22_601,10,10,12,8,0.60,4,16,9,11,0.45,S22,
S22_600,2,5,5,7,0.42,4,16,8,12,0.40,S22,
S22_605,2,20,5,7,0.42,3,17,7,13,0.35,S22,
S22_604,4,16,5,15,0.25,9,11,15,5,0.75,S22,
S22_703,3,17,5,15,0.25,8,12,14,6,0.70,S22,
S22_705,12,8,14,6,0.70,0,20,10,10,0.50,S22,
S22_700,14,6,14,6,0.70,9,11,17,3,0.85,S22,
S22_702,3,17,15,5,0.75,2,18,9,11,0.45,S22,
S22_704,17,3,10,10,0.50,11,9,13,7,0.65,S22,
S22_701,9,11,5,15,0.25,4,16,19,1,0.95,S22,
S22_803,5,0,6,0,1.00,15,5,16,4,0.80,S22,
S22_804,2,18,11,9,0.55,8,2,9,1,0.90,S22,
S22_805,13,7,15,5,0.75,5,15,7,13,0.35,S22,
S22_800,9,11,8,12,0.40,12,8,16,4,0.80,S22,
S22_802,9,11,15,5,0.75,7,13,17,3,0.85,S22,
S22_801,5,7,7,7,0.50,9,11,16,4,0.80,S22,
S22_903,16,4,19,1,0.95,9,11,13,7,0.65,S22,
S22_902,4,16,17,3,0.85,15,5,11,9,0.55,S22,
S22_904,7,13,4,16,0.20,4,16,10,10,0.50,S22,
S22_905,4,16,14,6,0.70,11,8,6,14,0.30,S22,
S22_901,5,15,16,4,0.80,6,14,14,6,0.70,S22,
S22_603,1,14,4,7,0.36,11,9,14,6,0.70,S22,
S22_900,5,15,8,12,0.40,7,13,8,12,0.40,S22,
F22_1,7,28,22,14,0.61,17,28,24,13,0.65,F22,F22_F22_1
F22_4,7,13,8,12,0.40,6,14,5,15,0.25,F22,F22_F22_4
F22_10,4,16,5,15,0.25,8,12,6,14,0.30,F22,F22_F22_10
F22_11,5,15,14,6,0.70,8,12,14,6,0.70,F22,F22_F22_11
F22_12,7,13,19,1,0.95,3,17,8,12,0.40,F22,F22_F22_12
F22_13,3,17,16,4,0.80,6,14,11,9,0.55,F22,F22_F22_13
F22_30,7,13,11,9,0.55,8,12,8,12,0.40,F22,F22_F22_30
F22_31,4,16,15,5,0.75,16,2,10,2,0.83,F22,F22_F22_31
F22_32,10,10,13,7,0.65,10,10,17,3,0.85,F22,F22_F22_32
F22_40,8,12,11,9,0.55,3,17,3,17,0.15,F22,F22_F22_40
